Phase,Task,Description,Deadline,Owner,Status,Priority,Assigned_To,Completion_Date,Notes
PLANNING,Secure Event Chair,Identify and confirm event leader,Aug 1,Steering Committee,Not Started,CRITICAL,Rod Dennis,,"Rod Dennis recommended"
PLANNING,Establish Steering Committee,Recruit 5-7 core leaders for sponsorship/auction/marketing/logistics,Aug 5,Event Chair,Not Started,CRITICAL,Rod Dennis,,"Need: Sponsorship Lead, Auction Chair, Marketing Lead, Logistics Lead"
PLANNING,Confirm Venue & Date,Book venue (same as prior year), finalize Nov date and capacity,Aug 15,Event Chair,Not Started,CRITICAL,Rod Dennis,,"Target: November 15, 2026 at prior venue"
PLANNING,Determine Capacity & Attendance Target,Confirm max capacity (plan for 200+ attendees),Aug 15,Event Chair,Not Started,HIGH,Rod Dennis,,"200+ members and guests"
PLANNING,Set Final Sponsorship Tiers,Finalize Platinum/Gold/Silver sponsorship packages,Aug 20,Sponsorship Lead,Not Started,HIGH,"[TBD]",,"Uses member companies as target sponsors"
PLANNING,Identify Top 12 Platinum Prospects,Create priority list of highest-value member targets,Aug 20,Sponsorship Lead,Not Started,HIGH,"[TBD]",,"See member list spreadsheet for identified prospects"
SPONSORSHIP,Begin Platinum Sponsor Outreach,Direct personal calls/meetings to top 12 prospects,Aug 25,Sponsorship Lead,Not Started,CRITICAL,"[TBD]",,"Personalized approach - committee member calls"
SPONSORSHIP,Deliver Sponsor Packages to Prospects,Email/deliver full sponsorship package info,Sept 1,Sponsorship Lead,Not Started,HIGH,"[TBD]",,"Include pricing, benefits, brand benefits"
SPONSORSHIP,First Sponsorship Follow-up,Call/email follow-ups on Platinum prospects,Sept 10,Sponsorship Lead,Not Started,HIGH,"[TBD]",,"Personal relationship building critical"
SPONSORSHIP,Launch Gold Sponsor Campaign,Broad outreach to Gold-tier prospects (50+ potential),Sept 15,Sponsorship Lead,Not Started,MEDIUM,"[TBD]",,"Email campaign + phone outreach"
SPONSORSHIP,Platinum Sponsor Deadline,Final confirmation date for Platinum sponsorships,Sept 30,Sponsorship Lead,Not Started,CRITICAL,"[TBD]",,"Must have at least 3-4 Platinums locked"
SPONSORSHIP,Complete All Sponsorships,All Gold and Silver sponsors confirmed,Oct 1,Sponsorship Lead,Not Started,HIGH,"[TBD]",,"Final reconciliation with Finance Lead"
SPONSORSHIP,Sponsor Thank-You Kits,Deliver thank-you packages, benefits packages to sponsors,Oct 5,Sponsorship Lead,Not Started,MEDIUM,"[TBD]",,"Includes tickets, VIP passes, signage artwork"
AUCTION,Recruit Auction Committee,Identify 4-6 volunteers to source and manage items,Aug 25,Auction Chair,Not Started,HIGH,"[TBD]",,"Need: sourcing, logistics, tech-savvy member"
AUCTION,Create Auction Item Donation Request,Formal request form for item donations from members,Aug 30,Auction Chair,Not Started,HIGH,"[TBD]",,"Include: item description, valuation, estimated bid, donor recognition"
