Event Name,Event Type,Event Date,Event Location,Sponsor Company,Sponsor Tier,Industry,Headquarters Location,Business Focus,Website,Phone Number,Email Contact,Contact Person,Company Size/Notes,Annual Revenue Range,Employee Count,Sponsorship Opportunity,Why They Sponsor

The Honor Ball 2026,Healthcare Innovation - Women's Health,February 28 2026,Arizona Biltmore Resort & Spa Phoenix AZ,Abbott Laboratories,Underwriting Sponsor,Medical Device & Diagnostics,Abbott Park IL,Medical innovation diagnostics,abbott.com,Not Listed,Not Listed,Not Listed,Fortune 500,Multi-billion,N/A,Naming opportunity innovation endowment,Healthcare commitment

The Honor Ball 2026,Healthcare Innovation - Women's Health,February 28 2026,Arizona Biltmore Resort & Spa Phoenix AZ,Avnet Inc,Premium Sponsor,Technology Distribution,Phoenix Arizona,Tech infrastructure solutions,avnet.com,Not Listed,Not Listed,Not Listed,Fortune 500,Multi-billion,N/A,Logo placement event materials,Regional operations support

The Honor Ball 2026,Healthcare Innovation - Women's Health,February 28 2026,Arizona Biltmore Resort & Spa Phoenix AZ,Philips Ultrasound,Gold Sponsor,Medical Imaging Equipment,Multiple US,Ultrasound technology,philips.com/healthcare,Not Listed,Not Listed,Not Listed,Global Fortune 500,Multi-billion,N/A,Equipment showcase,Medical technology leader

The Honor Ball 2026,Healthcare Innovation - Women's Health,February 28 2026,Arizona Biltmore Resort & Spa Phoenix AZ,PetSmart Charities,Sponsor,Retail Animal Welfare,Phoenix Arizona,Animal welfare support,petsmartcharities.org,Not Listed,Not Listed,Not Listed,National Organization,Millions annually,N/A,Corporate giving programs,Animal healthcare mission

The Honor Ball 2026,Healthcare Innovation - Women's Health,February 28 2026,Arizona Biltmore Resort & Spa Phoenix AZ,Phoenix Suns Charities,Sponsor,Sports Entertainment,Phoenix Arizona,Community sports programs,nba.com/suns,Not Listed,Not Listed,Not Listed,Professional Sports Team,Multi-million,400+,Game tickets donations,Community engagement

The Honor Ball 2026,Healthcare Innovation - Women's Health,February 28 2026,Arizona Biltmore Resort & Spa Phoenix AZ,Republic Services,Sponsor,Waste Management Environmental,Phoenix Arizona,Recycling waste management,republicservices.com,Not Listed,Not Listed,Not Listed,Fortune 500,Multi-billion,30000+,Sustainability initiatives,Environmental corporate responsibility

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,Sonora Quest Laboratories,Presenting Sponsor,Diagnostic Laboratory Testing,424 South 56th Street Suite 100 Phoenix AZ 85034,(602) 685-5553,sonoraquest.com,(602) 685-5553,Not Listed,Not Listed,Banner Health Quest Diagnostics partnership,Millions,3900+,Title sponsorship recognition,Diagnostic testing leadership

